CandidateName,OType,Magnitude,RA,Dec,MajorAxis
M 102,Seyfert Galaxy,9.89,226.623171,55.763308,6.31
M 97,Planetary Nebula,15.777,168.69880122825,55.01902300891,3.333
M 79,Globular Cluster,8.16,81.04413,-24.52425,8.7
M 77,Galaxy in Pair of Galaxies,8.87,40.66962152892,-0.01329435839,6.92
M 74,Galaxy,9.46,24.17393801526,15.78364097564,9.33
M 96,Galaxy in Pair of Galaxies,9.25,161.6906,11.819939,7.24
M 105,LINER-type Active Galaxy Nucleus,9.76,161.956667,12.581631,5.13
M 95,Galaxy in Pair of Galaxies,9.73,160.99054728575,11.70369477537,7.08
M 66,Galaxy in Pair of Galaxies,8.92,170.0626,12.9915,8.51
M 98,LINER-type Active Galaxy Nucleus,10.14,183.45121278624,14.900542632,9.55
M 99,HII Galaxy,9.87,184.706771,14.416489,5.13
M 61,Seyfert 2 Galaxy,9.65,185.4788677428699,4.47377704644,6.17
M 100,Active Galaxy Nucleus,9.35,185.7288749973299,15.8223045161,7.59
M 88,Seyfert 2 Galaxy,13.18,187.99646877602,14.42031915884,7.76
M 84,Seyfert 2 Galaxy,10.49,186.26559721,12.88698314,6.46
M 87,Active Galaxy Nucleus,8.63,187.70593076725,12.39112324608,9.12
M 91,LINER-type Active Galaxy Nucleus,13.57,188.8601861505499,14.49632231493,5.37
M 58,Seyfert Galaxy,9.66,189.4314,11.8183,5.62
M 90,Seyfert 2 Galaxy,9.54,189.20750409995,13.1629232814,9.77
M 89,LINER-type Active Galaxy Nucleus,9.75,188.91586388929,12.55634190714,6.92
M 104,LINER-type Active Galaxy Nucleus,8.0,189.99763274592,-11.62305449444,8.51
M 64,Seyfert Galaxy,8.52,194.182067,21.682658,9.77
M 19,Globular Cluster,5.57,255.65704,-26.26794,9.6
M 75,Globular Cluster,8.26,301.520171,-21.922261,2.383
M  9,Globular Cluster,8.42,259.79908,-18.51625,8.7
M 72,Globular Cluster,8.96,313.36542,-12.53731,5.9
M 16,Open Cluster,6.0,274.688,-13.792,5.05
M 26,Open Cluster,8.87,281.317,-9.386,7.1
NGC 6705,Open Cluster,5.8,282.766,-6.272,8.9
M 27,Planetary Nebula,14.089,299.90151327087,22.72119779432,0.133
M 57,Planetary Nebula,15.769,283.39623652463,33.02913424654,1.153
